:START_ID(Process),:END_ID(File)
08846768-6d14-68ce-8a15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_3prpfjpk.rno.ps1
08846768-6d14-68ce-8c15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_15vphnrf.zld.ps1
08846768-6d14-68ce-8e15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_woqkfdfa.3c2.ps1
08846768-6d14-68ce-8f15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_2bkyhl3j.vnj.ps1
08846768-6d14-68ce-9215-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_gc3noxpr.jcz.ps1
08846768-6d14-68ce-9315-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_iuipaafl.1ou.ps1
08846768-6d14-68ce-9615-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_c5uwutdx.4es.ps1
08846768-6d14-68ce-9815-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_lbabfdza.kmw.ps1
08846768-6d14-68ce-9a15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_phfznua2.g5t.ps1
08846768-6d14-68ce-9c15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_j110m1td.11h.ps1
08846768-6d1d-68ce-c815-000000000c00,C:\Windows\PSEXESVC.exe
08846768-6d1d-68ce-cf15-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_obb1lkkg.ryh.ps1
08846768-6d1e-68ce-d915-000000000c00,C:\AtomicRedTeam\ExternalPayloads\procdump64.exe
08846768-6d1e-68ce-da15-000000000c00,C:\Windows\Temp\lsass_dump-10.dmp
08846768-6d1f-68ce-e015-000000000c00,C:\Users\test\AppData\Local\Temp\g64-38e.exe
08846768-6d21-68ce-e415-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_2sdhluil.ggn.ps1
08846768-6d21-68ce-e415-000000000c00,C:\Windows\System32\NPPSPY.dll
08846768-6d21-68ce-e715-000000000c00,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_4kshseae.fzh.ps1
08846768-6d21-68ce-e715-000000000c00,C:\Users\test\result.ps1
