:START_ID(File),:END_ID(Trace)
C:\AtomicRedTeam\ExternalPayloads\procdump64.exe,c9226647eb780e4e23328a9fd36096d5
C:\Program Files (x86)\KeyScrambler\DriverInstaller.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\KeyScramblerIE.dll,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\KeyScramblerLogon.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\Languages\KSLangCHT.dll,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\Languages\KSLangJPN.dll,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\QFXUpdateService.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\Uninstall.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\keyscrambler.sys,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\DriverInstaller.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\KeyScramblerIE.dll,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\KeyScramblerLogon.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\Languages\KSLangCHT.dll,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\Languages\KSLangJPN.dll,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\NSIS.Library.RegTool.v3.{5302CB23-9649-4415-BA27-091179B58D88}.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\QFXUpdateService.exe,77457ecfd88f69809e5ea44655aa440d
C:\Program Files (x86)\KeyScrambler\x64\keyscrambler.sys,77457ecfd88f69809e5ea44655aa440d
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\CDS.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\Microsoft.Exchange.Clients.SmimeAX.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\Microsoft.Internal.EmailMessage.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\Microsoft.Internal.Mime.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\SeamlessLaunch.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\WebView2Loader.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\boost_json-vc143-mt-x64-1_87.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\boost_program_options-vc143-mt-x64-1_87.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\bz2.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\concrt140.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\cpprest_2_10.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\lowTrustBackgroundTask.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\minizip.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\mmoutlookwebcontext\mmoutlookwebcontext.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\mmpiehost\mmpiehost.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\mmwebhostsystem\mmwebhostsystem.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\nh-mod-auth\nh-mod-auth.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\modules\olk-mod-general\olk-mod-general.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_1.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_2.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_atomic_wait.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_codecvt_ids.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\nh.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olk.exe,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkBg.exe,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkFullTrustExecutor.exe,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkPushNotificationBackgroundTask.exe,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkmain.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olknh.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\relaunchNativeHost.exe,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\vcruntime140.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\vcruntime140_1.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\win32gql.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\xpdAgent.exe,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\xpdApi.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\zip.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\zlib1.dll,b101c6cca0439f6d38d688e3473868eb
C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettings.exe,b101c6cca0439f6d38d688e3473868eb
