:START_ID(Summary),:END_ID(Node)
00555c3b-4506-431f-a482-884717a6f031,chrmstp.exe
00555c3b-4506-431f-a482-884717a6f031,powershell.exe
00555c3b-4506-431f-a482-884717a6f031,runonce.exe
00555c3b-4506-431f-a482-884717a6f031,whoami.exe
0075f3eb-1e21-4bc4-a807-920dd658d986,20.189.173.6:443
0075f3eb-1e21-4bc4-a807-920dd658d986,52.109.136.6:443
0075f3eb-1e21-4bc4-a807-920dd658d986,EXCEL.EXE
0075f3eb-1e21-4bc4-a807-920dd658d986,svchost.exe
013098e7-57f5-4712-9132-e4884186499c,C:\Users\test\AppData\Local\Temp\__PSScriptPolicyTest_phfznua2.g5t.ps1
013098e7-57f5-4712-9132-e4884186499c,HOSTNAME.EXE
013098e7-57f5-4712-9132-e4884186499c,powershell.exe
013098e7-57f5-4712-9132-e4884186499c,whoami.exe
0149ed37-3541-4ad8-97da-1c8ba078d4ff,185.199.108.133:443
0149ed37-3541-4ad8-97da-1c8ba078d4ff,C:\Users\windows\AppData\Local\Temp\__PSScriptPolicyTest_yi11kwc2.pi1.ps1
0149ed37-3541-4ad8-97da-1c8ba078d4ff,C:\Users\windows\AppData\Local\Temp\__PSScriptPolicyTest_ysjchfsr.kag.ps1
0149ed37-3541-4ad8-97da-1c8ba078d4ff,cmd.exe
0149ed37-3541-4ad8-97da-1c8ba078d4ff,cscript.exe
0149ed37-3541-4ad8-97da-1c8ba078d4ff,dllhost.exe
0149ed37-3541-4ad8-97da-1c8ba078d4ff,powershell.exe
014e6735-f3a7-4d62-a737-1f1783f80a63,C:\Users\Administrator\AppData\Local\Temp\__PSScriptPolicyTest_yqoqcyme.oxt.ps1
014e6735-f3a7-4d62-a737-1f1783f80a63,HOSTNAME.EXE
014e6735-f3a7-4d62-a737-1f1783f80a63,powershell.exe
02371c5a-dedc-4212-92f8-e8f0111aeda4,C:\Users\windows\AppData\Local\Temp\__PSScriptPolicyTest_gc2kgocu.4en.ps1
02371c5a-dedc-4212-92f8-e8f0111aeda4,powershell.exe
02371c5a-dedc-4212-92f8-e8f0111aeda4,whoami.exe
024beb57-4653-41db-a157-cf902112aa1d,C:\Users\Administrator\AppData\Local\Temp\__PSScriptPolicyTest_n1j1mjmw.opa.ps1
024beb57-4653-41db-a157-cf902112aa1d,HOSTNAME.EXE
024beb57-4653-41db-a157-cf902112aa1d,WerFault.exe
024beb57-4653-41db-a157-cf902112aa1d,cmd.exe
024beb57-4653-41db-a157-cf902112aa1d,powershell.exe
024beb57-4653-41db-a157-cf902112aa1d,reg.exe
024beb57-4653-41db-a157-cf902112aa1d,svchost.exe
024beb57-4653-41db-a157-cf902112aa1d,whoami.exe
0258d3e9-f38b-4065-b844-422fced589c8,C:\Users\windows\AppData\Local\Temp\T1218.004.dll
0258d3e9-f38b-4065-b844-422fced589c8,C:\Users\windows\AppData\Local\Temp\__PSScriptPolicyTest_1rcsmdqj.41v.ps1
0258d3e9-f38b-4065-b844-422fced589c8,C:\Users\windows\AppData\Local\Temp\__PSScriptPolicyTest_5xuww1t5.31j.ps1
0258d3e9-f38b-4065-b844-422fced589c8,C:\Users\windows\AppData\Local\Temp\__PSScriptPolicyTest_r14dc0ji.r2j.ps1
0258d3e9-f38b-4065-b844-422fced589c8,InstallUtil.exe
0258d3e9-f38b-4065-b844-422fced589c8,csc.exe
0258d3e9-f38b-4065-b844-422fced589c8,powershell.exe
0258d3e9-f38b-4065-b844-422fced589c8,whoami.exe
0316457c-317d-44a5-a481-351f5b14eafb,cmd.exe
0316457c-317d-44a5-a481-351f5b14eafb,conhost.exe
0316457c-317d-44a5-a481-351f5b14eafb,powershell.exe
0316457c-317d-44a5-a481-351f5b14eafb,reg.exe
0316457c-317d-44a5-a481-351f5b14eafb,whoami.exe
032832db-2316-4878-b3f0-a3526ce7bc41,C:\Users\emps\AppData\Local\Temp\__PSScriptPolicyTest_2sxfi53t.q1e.ps1
032832db-2316-4878-b3f0-a3526ce7bc41,C:\Users\emps\AppData\Local\Temp\__PSScriptPolicyTest_bhc55cdc.kmy.ps1
032832db-2316-4878-b3f0-a3526ce7bc41,C:\Users\emps\AppData\Local\Temp\__PSScriptPolicyTest_fi3luym2.1hw.ps1
032832db-2316-4878-b3f0-a3526ce7bc41,C:\Users\emps\AppData\Local\Temp\__PSScriptPolicyTest_su2x1nmc.ird.ps1
032832db-2316-4878-b3f0-a3526ce7bc41,C:\Users\emps\AppData\Local\Temp\__PSScriptPolicyTest_taos4lb1.5ub.ps1
032832db-2316-4878-b3f0-a3526ce7bc41,HOSTNAME.EXE
032832db-2316-4878-b3f0-a3526ce7bc41,cmd.exe
032832db-2316-4878-b3f0-a3526ce7bc41,gpresult.exe
032832db-2316-4878-b3f0-a3526ce7bc41,notepad.exe
032832db-2316-4878-b3f0-a3526ce7bc41,powershell.exe
032832db-2316-4878-b3f0-a3526ce7bc41,whoami.exe
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,185.199.111.133:443
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,20.200.245.247:443
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,C:\Users\Administrator\AppData\Local\Temp\__PSScriptPolicyTest_gmnz3x5e.b1h.ps1
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,C:\Users\Administrator\AppData\Local\Temp\__PSScriptPolicyTest_peymlcgd.tnl.ps1
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,C:\Users\Administrator\AppData\Local\Temp\tmax5eu1\tmax5eu1.cmdline
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,C:\Users\Administrator\AppData\Local\Temp\tmax5eu1\tmax5eu1.dll
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,certutil.exe
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,cmd.exe
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,csc.exe
