:START_ID(Summary),:END_ID(Technique)
00555c3b-4506-431f-a482-884717a6f031,T1033
00555c3b-4506-431f-a482-884717a6f031,T1059.001
00555c3b-4506-431f-a482-884717a6f031,T1087
0075f3eb-1e21-4bc4-a807-920dd658d986,T1071.001
0075f3eb-1e21-4bc4-a807-920dd658d986,T1204.002
013098e7-57f5-4712-9132-e4884186499c,T1033
013098e7-57f5-4712-9132-e4884186499c,T1059.001
013098e7-57f5-4712-9132-e4884186499c,T1087.001
0149ed37-3541-4ad8-97da-1c8ba078d4ff,T1053.005
0149ed37-3541-4ad8-97da-1c8ba078d4ff,T1059.001
0149ed37-3541-4ad8-97da-1c8ba078d4ff,T1105
0149ed37-3541-4ad8-97da-1c8ba078d4ff,T1203
014e6735-f3a7-4d62-a737-1f1783f80a63,T1059.001
014e6735-f3a7-4d62-a737-1f1783f80a63,T1204.002
02371c5a-dedc-4212-92f8-e8f0111aeda4,T1059.001
02371c5a-dedc-4212-92f8-e8f0111aeda4,T1087
02371c5a-dedc-4212-92f8-e8f0111aeda4,T1202
024beb57-4653-41db-a157-cf902112aa1d,T1059.001
024beb57-4653-41db-a157-cf902112aa1d,T1082
024beb57-4653-41db-a157-cf902112aa1d,T1083
024beb57-4653-41db-a157-cf902112aa1d,T1105
024beb57-4653-41db-a157-cf902112aa1d,T1547.001
0258d3e9-f38b-4065-b844-422fced589c8,T1033
0258d3e9-f38b-4065-b844-422fced589c8,T1059.001
0258d3e9-f38b-4065-b844-422fced589c8,T1087.001
0258d3e9-f38b-4065-b844-422fced589c8,T1218.004
0316457c-317d-44a5-a481-351f5b14eafb,T1033
0316457c-317d-44a5-a481-351f5b14eafb,T1046
0316457c-317d-44a5-a481-351f5b14eafb,T1059.001
0316457c-317d-44a5-a481-351f5b14eafb,T1083
0316457c-317d-44a5-a481-351f5b14eafb,T1106
032832db-2316-4878-b3f0-a3526ce7bc41,T1059.001
032832db-2316-4878-b3f0-a3526ce7bc41,T1087.001
032832db-2316-4878-b3f0-a3526ce7bc41,T1105
032832db-2316-4878-b3f0-a3526ce7bc41,T1218
032832db-2316-4878-b3f0-a3526ce7bc41,T1566.001
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1003.001
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1059.001
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1071.001
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1086
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1552.001
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1553.002
0338afe0-2ea6-446d-a17b-b9e66ab30b0f,T1562.001
0351aa09-8f4d-4efb-984f-1c8f58ea4dba,T1033
0351aa09-8f4d-4efb-984f-1c8f58ea4dba,T1059.001
0351aa09-8f4d-4efb-984f-1c8f58ea4dba,T1087
0351aa09-8f4d-4efb-984f-1c8f58ea4dba,T1203
03fa0eab-caa5-41b6-a01e-ab3af9633590,T1036.004
03fa0eab-caa5-41b6-a01e-ab3af9633590,T1059.001
03fa0eab-caa5-41b6-a01e-ab3af9633590,T1071.001
03fa0eab-caa5-41b6-a01e-ab3af9633590,T1105
03fa0eab-caa5-41b6-a01e-ab3af9633590,T1203
040c3896-a511-486b-a848-3ff931e1643c,T1033
040c3896-a511-486b-a848-3ff931e1643c,T1059.001
040c3896-a511-486b-a848-3ff931e1643c,T1087
04230ba0-aaaf-4e64-9a28-3cae274a49fc,T1033
04230ba0-aaaf-4e64-9a28-3cae274a49fc,T1059.001
04230ba0-aaaf-4e64-9a28-3cae274a49fc,T1087
04cea79f-7183-459a-9c75-b95d79c3217d,T1059.001
04cea79f-7183-459a-9c75-b95d79c3217d,T1087.001
04cea79f-7183-459a-9c75-b95d79c3217d,T1112
04cea79f-7183-459a-9c75-b95d79c3217d,T1547.005
05a931f8-6bcb-4be0-a608-d213e72fa948,T1033
05a931f8-6bcb-4be0-a608-d213e72fa948,T1055
05a931f8-6bcb-4be0-a608-d213e72fa948,T1059.001
05a931f8-6bcb-4be0-a608-d213e72fa948,T1087
06021749-5142-4e10-afb5-ebced9daee8b,T1043
06021749-5142-4e10-afb5-ebced9daee8b,T1059.001
06021749-5142-4e10-afb5-ebced9daee8b,T1105
06403b01-7e7f-48a1-9e35-270252d39200,T1033
06403b01-7e7f-48a1-9e35-270252d39200,T1059.001
06403b01-7e7f-48a1-9e35-270252d39200,T1083
06bc1cb1-826d-470d-adb0-d66912f956b9,T1059.001
06bc1cb1-826d-470d-adb0-d66912f956b9,T1071.001
06bc1cb1-826d-470d-adb0-d66912f956b9,T1087.001
06bc1cb1-826d-470d-adb0-d66912f956b9,T1105
06f3a00b-28fa-4b27-b112-7c73b6ecf8b3,T1071.001
06f3a00b-28fa-4b27-b112-7c73b6ecf8b3,T1105
06f3a00b-28fa-4b27-b112-7c73b6ecf8b3,T1566.001
0748290a-ade5-44fa-a239-f16b83cbaa6e,T1059.003
0748290a-ade5-44fa-a239-f16b83cbaa6e,T1105
078426ae-d937-45c4-ad41-774507b35e76,T1043
078426ae-d937-45c4-ad41-774507b35e76,T1059.001
0824956f-7584-4a9d-b020-608392174ec6,T1036
0824956f-7584-4a9d-b020-608392174ec6,T1059.001
0824956f-7584-4a9d-b020-608392174ec6,T1078
0824956f-7584-4a9d-b020-608392174ec6,T1083
0824956f-7584-4a9d-b020-608392174ec6,T1112
0824956f-7584-4a9d-b020-608392174ec6,T1204.002
08479fbe-ae4e-4257-8535-c49af6c62c8a,T1033
08479fbe-ae4e-4257-8535-c49af6c62c8a,T1059.001
08479fbe-ae4e-4257-8535-c49af6c62c8a,T1087.001
0a6f9eaf-dd4b-4c73-b136-33814e387f9b,T1003
0a6f9eaf-dd4b-4c73-b136-33814e387f9b,T1059.001
0c3310aa-5a55-4ce3-b3c5-15255dcc1eb3,T1033
0c3310aa-5a55-4ce3-b3c5-15255dcc1eb3,T1087.001
0d37893e-f85a-40ca-bc68-b44cc447d582,T1033
0d37893e-f85a-40ca-bc68-b44cc447d582,T1059.001
0d37893e-f85a-40ca-bc68-b44cc447d582,T1083
0e2b9244-4a31-4040-84f2-313c14908a7d,T1033
0e2b9244-4a31-4040-84f2-313c14908a7d,T1059.001
0e2b9244-4a31-4040-84f2-313c14908a7d,T1105
0e2b9244-4a31-4040-84f2-313c14908a7d,T1106
